battery_power,m_dep,mobile_wt,px_height,px_width,ram,sc_h,sc_w,talk_time,bluetooth,gen,cores,speed,sim,f_camera,camera,memory,screen,wifi,price,resolution,DPI_w,call_ratio,cores_ord,speed_ord,sim_ord,wifi_ord,bluetooth_bin,screen_bin
956,1.0,143,511,1075,3286,17,8,12,No,4,hepta,low,Single,1.0,6.0,41.69,Touch,none,992.21,160.91,341.31,79.67,7,1,0,1,0,1
1453,0.3,96,187,1311,2373,10,1,10,No,4,dual,medium,Dual,12.0,18.0,52.47,Touch,n,926.26,334.7,3329.94,145.3,2,2,1,5,0,1
851,0.4,200,1171,1263,478,12,7,10,No,3,penta,low,Single,3.0,7.0,21.53,LCD,b,584.54,314.9,458.29,85.1,5,1,0,2,0,0
1579,0.2,88,1358,1739,3532,17,11,12,Yes,2,hepta,low,Dual,,9.0,5.2,LCD,a,1272.59,276.78,401.55,131.58,7,1,1,3,1,0
1568,1.0,150,413,654,508,5,1,6,Yes,3,octa,low,Single,16.0,20.0,33.59,Touch,a,665.32,385.3,1661.16,261.33,8,1,0,3,1,1
1319,0.9,107,85,1152,2227,18,5,3,Yes,4,single,low,Single,3.0,18.0,41.72,Touch,b,1053.05,157.06,585.22,439.67,1,1,0,2,1,1
1310,0.6,100,178,1919,3845,7,0,12,Yes,4,quad,medium,Dual,,,51.96,Touch,none,1029.02,699.31,0.0,109.17,4,2,1,1,1,1
644,0.7,157,311,881,1262,12,1,15,Yes,3,octa,high,Single,,3.0,22.73,LCD,none,595.36,197.07,2237.74,42.93,8,3,0,1,1,0
725,0.4,160,1134,1249,1326,10,4,15,No,3,octa,medium,Dual,16.0,17.0,60.45,LCD,none,921.33,397.85,793.12,48.33,8,2,1,1,0,0
589,0.6,160,429,815,2113,13,7,2,Yes,3,quad,high,Dual,1.0,10.0,61.73,LCD,g,750.85,158.44,295.73,294.5,4,3,1,4,1,0
1725,0.5,119,609,1307,3429,6,5,4,Yes,4,dual,medium,Dual,6.0,18.0,6.79,Touch,none,1182.72,468.93,663.96,431.25,2,2,1,1,1,1
790,0.3,87,347,730,3169,6,1,2,No,4,hexa,medium,Dual,16.0,17.0,11.91,LCD,n,1238.51,337.51,1854.2,395.0,6,2,1,5,0,0
560,0.3,159,1448,1613,2150,18,12,11,No,3,dual,low,Dual,15.0,20.0,50.76,Touch,none,776.5,254.5,341.42,50.91,2,1,1,1,0,1
1347,0.6,132,434,967,2484,18,2,11,No,3,single,high,Single,5.0,14.0,44.56,LCD,a,819.01,148.65,1228.09,122.45,1,3,0,3,0,0
1646,0.2,185,1725,1932,3339,18,10,19,Yes,4,dual,high,Single,8.0,10.0,41.46,Touch,none,1042.93,319.49,490.73,86.63,2,3,0,1,1,1
1253,0.2,152,685,714,1878,15,0,4,Yes,4,dual,low,Dual,5.0,19.0,5.28,Touch,none,901.67,167.55,0.0,313.25,2,1,1,1,1,1
1656,0.1,166,880,1456,1629,15,12,14,No,4,triple,medium,Single,5.0,7.0,34.63,Touch,none,763.26,224.95,308.19,118.29,3,2,0,1,0,1
1195,0.8,110,1580,1652,504,9,3,12,Yes,4,dual,high,Single,1.0,14.0,20.57,Touch,none,946.17,612.04,1398.69,99.58,2,3,0,1,1,1
1514,0.2,118,186,1810,1152,8,3,20,No,2,triple,high,Single,,1.0,27.56,Touch,a,687.51,540.92,1532.47,75.7,3,3,0,3,0,1
1723,1.0,164,202,1791,3587,10,5,3,Yes,3,octa,medium,Dual,1.0,14.0,42.53,LCD,none,563.23,409.47,909.83,574.33,8,2,1,1,1,0
1054,0.8,196,27,774,2296,16,12,12,Yes,4,hepta,medium,Dual,3.0,10.0,40.3,LCD,b,685.21,98.36,163.83,87.83,7,2,1,2,1,0
578,0.2,162,1025,1433,1270,15,3,5,Yes,4,octa,high,Dual,2.0,8.0,57.65,LCD,g,873.76,292.55,1213.27,115.6,8,3,1,4,1,0
596,0.8,111,885,1854,3238,16,13,10,No,2,octa,medium,Dual,9.0,15.0,64.85,LCD,none,767.66,253.12,362.24,59.6,8,2,1,1,0,0
1547,0.7,198,1042,1832,2059,5,0,15,Yes,4,triple,high,Dual,2.0,19.0,14.31,LCD,g,1124.21,1070.66,0.0,103.13,3,3,1,4,1,0
1760,0.8,127,1382,1383,2053,19,12,16,No,2,octa,medium,Dual,5.0,19.0,63.45,Touch,none,1039.02,220.99,292.74,110.0,8,2,1,1,0,1
1654,0.3,109,546,629,3112,12,5,10,Yes,4,dual,medium,Dual,,,43.75,Touch,none,985.03,162.74,319.53,165.4,2,2,1,1,1,1
1457,0.3,102,1013,1287,1440,17,8,12,No,4,triple,medium,Dual,1.0,10.0,16.16,LCD,n,882.89,221.42,408.62,121.42,3,2,1,5,0,0
1073,0.5,145,690,804,2908,6,0,18,Yes,2,hepta,low,Dual,,,51.52,Touch,none,728.95,448.52,0.0,59.61,7,1,1,1,1,1
1936,0.6,104,667,1036,2552,14,7,13,No,4,triple,medium,Dual,10.0,20.0,46.08,LCD,none,885.11,199.95,375.92,148.92,3,2,1,1,0,0
823,0.5,148,822,1449,905,14,11,17,Yes,3,octa,high,Dual,13.0,19.0,60.63,Touch,b,678.04,237.66,334.59,48.41,8,3,1,2,1,1
987,0.4,107,581,820,3963,9,4,20,No,4,triple,medium,Dual,,9.0,61.16,LCD,g,1148.18,259.18,520.7,49.35,3,2,1,4,0,0
1757,0.5,180,265,713,2056,7,5,4,No,2,hexa,low,Single,8.0,14.0,49.4,LCD,none,727.74,224.6,362.2,439.25,6,1,0,1,0,0
1063,1.0,128,127,683,2910,15,13,9,No,4,penta,medium,Dual,2.0,4.0,48.48,Touch,n,1061.5,88.9,133.45,118.11,5,2,1,5,0,1
1484,0.6,134,916,969,1457,14,4,20,No,3,triple,high,Single,3.0,5.0,12.72,Touch,none,564.65,232.61,615.32,74.2,3,3,0,1,0,1
799,0.8,144,361,975,431,15,6,6,Yes,4,octa,high,Single,1.0,6.0,63.3,Touch,a,667.36,163.46,412.75,133.17,8,3,0,3,1,1
1156,0.8,159,322,547,470,7,0,15,Yes,4,dual,medium,Dual,,,50.61,Touch,none,626.46,230.32,0.0,77.07,2,2,1,1,1,1
1720,0.5,168,753,1353,2148,14,2,5,No,4,dual,medium,Single,15.0,18.0,55.51,Touch,n,913.26,278.1,1718.31,344.0,2,2,0,5,0,1
702,0.7,141,504,1570,2955,10,4,19,No,4,triple,high,Dual,2.0,3.0,9.53,LCD,none,919.42,388.87,996.95,36.95,3,3,1,1,0,0
616,0.8,81,651,1618,3366,18,8,13,No,4,triple,medium,Dual,13.0,17.0,44.4,Touch,none,1072.8,224.89,513.72,47.38,3,2,1,1,0,1
1358,0.3,155,1565,1858,3068,9,4,4,Yes,4,quad,low,Single,11.0,14.0,36.41,Touch,none,1260.25,626.51,1179.83,339.5,4,1,0,1,1,1
1866,0.5,182,108,1781,3834,16,11,8,No,2,triple,medium,Single,,,30.84,LCD,none,1404.31,233.41,411.25,233.25,3,2,0,1,0,0
1242,0.6,165,459,1225,1050,11,1,4,No,3,dual,medium,Dual,,1.0,10.21,LCD,b,519.08,300.83,3111.5,310.5,2,2,1,2,0,0
1166,0.8,80,205,603,3993,7,1,7,No,4,quad,medium,Dual,,1.0,43.31,Touch,none,992.05,228.78,1531.62,166.57,4,2,1,1,0,1
1448,0.8,138,570,1724,3378,13,11,2,Yes,4,hepta,low,Dual,6.0,11.0,45.83,Touch,a,852.63,270.83,398.09,724.0,7,1,1,3,1,1
1407,0.7,104,1172,1217,2192,9,7,13,Yes,4,quad,high,Single,1.0,4.0,22.3,LCD,b,816.15,376.39,441.6,108.23,4,3,0,2,1,0
605,0.1,142,160,1026,392,15,6,4,No,4,triple,medium,Single,8.0,16.0,9.62,LCD,none,610.98,163.26,434.34,151.25,3,2,0,1,0,0
1038,0.7,141,4,638,3709,11,0,12,No,3,single,medium,Single,3.0,5.0,43.26,Touch,a,909.34,147.32,0.0,86.5,1,2,0,3,0,1
797,0.5,90,763,1413,590,9,2,6,Yes,2,quad,high,Dual,4.0,6.0,38.61,Touch,none,488.27,442.41,1794.51,132.83,4,3,1,1,1,1
819,0.9,188,339,1242,1814,5,4,13,No,4,hexa,low,Dual,8.0,20.0,42.92,LCD,g,854.28,510.7,788.67,63.0,6,1,1,4,0,0
1114,0.4,197,1040,1071,907,10,7,17,No,4,triple,high,Single,4.0,15.0,9.35,Touch,none,732.31,310.64,388.62,65.53,3,3,0,1,0,1
1234,0.6,172,166,778,1449,11,7,6,Yes,2,single,medium,Dual,1.0,3.0,33.42,LCD,a,504.69,154.97,282.3,205.67,1,2,1,3,1,0
1199,0.2,116,1168,1552,3448,17,13,10,Yes,4,quad,high,Dual,15.0,20.0,16.47,LCD,a,1140.04,230.54,303.24,119.9,4,3,1,3,1,0
1103,0.7,111,990,1486,1837,8,7,16,No,2,hexa,medium,Dual,6.0,8.0,29.34,Touch,b,738.2,426.65,539.21,68.94,6,2,1,2,0,1
1589,0.9,85,319,1206,3464,19,10,6,Yes,4,hepta,low,Dual,,7.0,58.64,Touch,a,1475.94,147.58,306.32,264.83,7,1,1,3,1,1
999,0.2,199,1397,1616,2593,14,11,16,No,4,quad,high,Dual,11.0,19.0,64.5,Touch,none,893.03,304.74,373.15,62.44,4,3,1,1,0,1
1510,0.9,180,708,1752,3484,9,6,11,Yes,2,penta,low,Dual,2.0,3.0,46.14,Touch,a,990.07,443.73,741.68,137.27,5,1,1,3,1,1
1008,1.0,114,1077,1122,2009,10,3,11,No,3,triple,low,Single,11.0,15.0,61.33,LCD,none,747.7,378.37,949.96,91.64,3,1,0,1,0,0
1127,0.8,163,928,1049,2048,11,5,17,Yes,4,single,high,Dual,5.0,13.0,57.22,Touch,g,961.45,294.42,532.89,66.29,1,3,1,4,1,1
1412,0.8,96,516,1894,837,15,9,4,Yes,2,octa,high,Single,5.0,17.0,25.42,LCD,b,486.64,285.04,534.53,353.0,8,3,0,2,1,0
1496,0.5,182,96,741,854,16,0,7,Yes,2,penta,medium,Dual,4.0,5.0,42.14,Touch,b,546.15,118.62,0.0,213.71,5,2,1,2,1,1
1083,0.8,178,1025,1118,3210,13,3,4,Yes,4,triple,high,Dual,1.0,11.0,64.58,LCD,none,1233.65,288.76,946.57,270.75,3,3,1,1,1,0
668,0.1,155,666,1203,2746,9,5,8,No,3,penta,low,Dual,,13.0,3.54,Touch,b,625.74,339.23,611.12,83.5,5,1,1,2,0,1
1309,0.5,100,557,1402,2334,10,1,11,No,3,quad,medium,Dual,,14.0,33.87,LCD,g,701.21,381.28,3561.08,119.0,4,2,1,4,0,0
1724,0.5,177,1605,1924,2822,19,3,16,No,4,triple,medium,Dual,2.0,5.0,57.36,Touch,none,1187.36,330.85,1628.99,107.75,3,2,1,1,0,1
1977,1.0,171,1226,1242,1971,18,7,14,Yes,4,hepta,medium,Dual,7.0,18.0,54.46,Touch,none,1134.36,229.52,450.67,141.21,7,2,1,1,1,1
885,0.4,103,769,802,1410,16,10,5,No,4,hepta,high,Dual,,,15.29,Touch,n,804.03,149.58,203.71,177.0,7,3,1,5,0,1
879,0.7,83,403,1105,349,16,10,2,Yes,4,hexa,high,Single,11.0,15.0,14.81,LCD,b,734.31,158.34,280.67,439.5,6,3,0,2,1,0
1322,0.8,140,177,1990,1418,19,17,12,No,2,triple,medium,Dual,6.0,9.0,7.84,Touch,none,779.11,199.04,297.33,110.17,3,2,1,1,0,1
1137,1.0,196,942,1179,3616,13,5,12,Yes,3,triple,medium,Single,18.0,19.0,7.77,Touch,g,992.89,275.2,598.93,94.75,3,2,0,4,1,1
1355,0.2,132,651,891,880,19,4,8,No,4,penta,high,Single,10.0,16.0,23.15,Touch,none,790.28,144.35,565.79,169.38,5,3,0,1,0,1
1665,0.2,194,1572,1684,1601,18,17,14,Yes,4,hexa,low,Single,3.0,18.0,60.92,LCD,none,1178.81,236.34,251.61,118.93,6,1,0,1,1,0
657,0.7,141,476,961,1412,14,3,18,No,2,dual,high,Single,,1.0,37.6,Touch,none,457.76,190.25,813.65,36.5,2,3,0,1,0,1
593,0.4,156,1233,1317,1692,6,2,7,No,3,hepta,low,Single,6.0,7.0,31.51,LCD,none,794.59,724.54,1672.59,84.71,7,1,0,1,0,0
1883,0.3,146,836,1739,2600,16,8,20,Yes,4,hexa,low,Single,3.0,13.0,11.07,LCD,none,1111.33,273.97,552.13,94.15,6,1,0,1,1,0
1732,0.8,119,824,881,1308,16,7,11,Yes,4,octa,medium,Single,4.0,9.0,12.44,LCD,a,876.95,175.44,319.68,157.45,8,2,0,3,1,0
543,0.7,192,391,984,2413,17,14,15,No,3,penta,low,Single,,4.0,57.93,LCD,none,755.06,122.12,178.53,36.2,5,1,0,1,0,0
1939,0.6,199,320,520,1047,14,10,18,Yes,4,quad,high,Dual,,10.0,55.63,Touch,none,994.14,90.14,132.08,107.72,4,3,1,1,1,1
553,0.5,121,325,902,1204,11,4,8,No,4,hepta,high,Dual,1.0,3.0,8.27,Touch,b,627.66,208.06,572.77,69.12,7,3,1,2,0,1
832,0.7,103,125,1504,1799,5,2,11,No,4,quad,low,Dual,2.0,3.0,39.68,LCD,n,878.6,711.83,1910.08,75.64,4,1,1,5,0,0
1661,1.0,172,846,1634,2676,12,6,11,No,2,penta,medium,Dual,5.0,10.0,23.89,Touch,a,918.95,348.35,691.73,151.0,5,2,1,3,0,1
1657,0.1,198,1770,1796,2597,18,1,14,Yes,3,penta,high,Single,3.0,16.0,42.39,LCD,none,1086.69,355.28,4561.84,118.36,5,3,0,1,1,0
1135,0.3,83,293,1846,3029,19,17,9,Yes,3,single,medium,Dual,,4.0,46.36,Touch,g,1226.18,186.21,275.81,126.11,1,2,1,4,1,1
1775,0.1,163,1633,1869,2343,19,13,14,Yes,3,single,medium,Single,3.0,7.0,41.53,Touch,b,991.36,273.83,365.17,126.79,1,2,0,2,1,1
783,1.0,106,1198,1471,2016,16,4,18,No,4,triple,medium,Dual,,4.0,43.61,Touch,none,949.02,292.17,934.09,43.5,3,2,1,1,0,1
617,0.5,199,768,874,2213,18,13,7,Yes,2,hepta,high,Single,,20.0,32.53,LCD,none,687.37,133.1,170.77,88.14,7,3,0,1,1,0
867,0.7,135,70,1974,790,13,6,3,No,4,hexa,medium,Dual,,1.0,4.7,Touch,none,661.74,350.41,835.66,289.0,6,2,1,1,0,1
1310,1.0,194,117,513,3182,8,4,5,Yes,3,penta,medium,Dual,13.0,14.0,7.52,Touch,none,836.94,149.42,325.76,262.0,5,2,1,1,1,1
1804,0.6,153,1158,1244,3472,9,1,20,No,4,hepta,low,Single,9.0,19.0,22.57,LCD,g,874.33,476.72,3159.76,90.2,7,1,0,4,0,0
1900,0.2,89,1055,1661,2871,12,1,13,Yes,4,hepta,high,Single,1.0,9.0,18.62,Touch,b,1297.15,415.06,4218.94,146.15,7,3,0,2,1,1
909,0.3,82,635,973,3187,12,9,4,Yes,3,octa,medium,Single,,,53.62,LCD,none,868.6,196.74,274.6,227.25,8,2,0,1,1,0
1084,0.9,107,322,771,1945,15,4,10,Yes,4,triple,high,Single,3.0,11.0,40.59,Touch,none,789.15,136.71,489.59,108.4,3,3,0,1,1,1
1308,0.9,199,275,989,488,5,3,9,No,2,single,medium,Dual,8.0,12.0,46.31,Touch,none,441.19,447.16,837.35,145.33,1,2,1,1,0,1
1778,0.5,102,1445,1954,1214,5,0,14,No,3,triple,low,Single,,,15.81,LCD,none,1028.68,1234.57,0.0,127.0,3,1,0,1,0,0
1701,0.3,194,550,1338,2598,12,9,6,Yes,2,octa,medium,Dual,3.0,7.0,10.3,Touch,none,792.04,244.96,377.61,283.5,8,2,1,1,1,1
772,0.5,80,1242,1712,3242,18,11,4,Yes,4,quad,high,Dual,1.0,2.0,10.48,Touch,none,1104.95,254.67,395.32,193.0,4,3,1,1,1,1
825,0.9,130,597,863,3534,10,4,6,Yes,2,triple,low,Dual,7.0,10.0,52.88,Touch,none,769.71,247.48,548.0,137.5,3,1,1,1,1,1
1379,0.8,200,538,1376,3426,5,4,17,No,4,dual,medium,Single,5.0,7.0,36.94,Touch,a,1124.46,586.07,873.76,81.12,2,2,0,3,0,1
1166,0.8,198,59,1203,2488,13,5,15,No,4,penta,medium,Single,3.0,4.0,25.68,LCD,none,739.5,219.64,611.12,77.73,5,2,0,1,0,0
1659,0.6,89,819,902,3255,19,14,9,No,2,single,high,Single,5.0,20.0,16.69,LCD,a,709.62,131.12,163.65,184.33,1,3,0,3,0,0
826,0.3,88,179,786,2863,9,3,18,Yes,4,quad,high,Dual,,1.0,58.48,LCD,a,792.55,215.83,665.48,45.89,4,3,1,3,1,0
1564,0.5,189,1259,1965,1496,6,4,7,No,4,hexa,high,Single,4.0,17.0,25.26,Touch,n,783.0,822.02,1247.78,223.43,6,3,0,5,0,1
1957,0.6,181,396,1732,3801,12,0,7,No,3,triple,low,Dual,11.0,16.0,31.55,LCD,n,854.36,376.07,0.0,279.57,3,1,1,5,0,0
1571,0.1,100,713,1398,666,12,10,13,No,4,hexa,medium,Single,,1.0,20.03,Touch,none,817.21,255.18,355.09,120.85,6,2,0,1,0,1
1414,0.8,99,262,829,3799,17,7,7,No,3,hepta,medium,Dual,2.0,3.0,55.03,LCD,g,1173.98,120.12,300.81,202.0,7,2,1,4,0,0
1790,0.1,184,622,792,1366,7,0,20,No,3,single,high,Dual,9.0,14.0,2.27,Touch,a,700.13,365.41,0.0,89.5,1,3,1,3,0,1
645,1.0,197,327,580,2962,12,9,4,No,3,hepta,low,Single,1.0,10.0,41.43,Touch,b,570.95,112.75,163.69,161.25,7,1,0,2,0,1
668,0.2,195,522,1056,2399,10,5,7,No,3,octa,high,Dual,7.0,12.0,30.24,Touch,g,779.64,267.62,536.45,95.43,8,3,1,4,0,1
1652,0.7,89,313,1264,2338,12,8,20,Yes,2,quad,medium,Dual,1.0,5.0,36.2,LCD,none,748.99,229.34,401.32,82.6,4,2,1,1,1,0
1213,0.5,108,226,1248,2700,12,3,9,Yes,2,penta,low,Single,,,16.27,LCD,g,915.55,260.44,1056.64,134.78,5,1,0,4,1,0
1272,0.9,133,605,669,2235,19,4,4,Yes,3,hexa,high,Dual,,8.0,22.35,LCD,none,839.85,118.0,424.82,318.0,6,3,1,1,1,0
866,0.5,179,692,1686,3825,12,11,2,No,4,octa,low,Dual,5.0,7.0,46.4,Touch,n,934.12,284.36,389.31,433.0,8,1,1,5,0,1
536,0.3,182,1386,1539,284,12,9,4,No,4,hepta,high,Dual,12.0,14.0,3.56,Touch,none,676.17,350.71,434.34,134.0,7,3,1,1,0,1
523,0.1,155,304,1042,1427,9,1,9,No,2,octa,high,Dual,1.0,2.0,14.34,Touch,none,572.78,304.46,2646.68,58.11,8,3,1,1,0,1
1753,0.1,134,1590,1926,1324,17,0,17,No,4,single,low,Dual,,18.0,31.91,LCD,g,1129.62,373.16,0.0,103.12,1,1,1,4,0,0
1218,0.5,147,229,616,398,17,0,5,No,4,triple,medium,Dual,1.0,4.0,14.68,LCD,none,639.66,98.19,0.0,243.6,3,2,1,1,0,0
1537,0.3,137,839,1131,3685,18,17,17,Yes,4,single,high,Single,4.0,5.0,43.33,Touch,n,1116.11,144.47,168.98,90.41,1,3,0,5,1,1
786,0.5,141,507,1697,2390,12,11,5,No,3,hepta,medium,Dual,,6.0,33.66,LCD,a,779.76,276.35,391.85,157.2,7,2,1,3,0,0
1678,0.9,134,436,536,278,19,0,10,No,4,triple,medium,Single,3.0,11.0,64.49,Touch,none,815.16,92.37,0.0,167.8,3,2,0,1,0,1
1814,0.4,141,756,786,3556,18,12,16,No,4,dual,medium,Dual,1.0,2.0,9.51,LCD,none,1164.8,128.04,166.37,113.38,2,2,1,1,0,0
1101,0.2,148,387,1269,2196,12,6,19,No,2,dual,medium,Single,,7.0,31.49,Touch,b,588.16,251.17,537.21,57.95,2,2,0,2,0,1
1461,0.5,141,1265,1298,3799,16,1,4,No,4,hepta,high,Dual,3.0,4.0,40.42,LCD,none,1202.09,287.17,3296.92,365.25,7,3,1,1,0,0
1216,0.4,199,1852,1967,2268,13,5,4,No,2,triple,high,Single,4.0,7.0,47.37,Touch,n,739.1,492.68,999.24,304.0,3,3,0,5,0,1
506,0.8,159,875,1025,2965,13,10,15,No,4,single,medium,Single,6.0,7.0,41.52,LCD,none,848.12,208.71,260.35,33.73,1,2,0,1,0,0
843,0.1,147,140,800,2341,10,1,20,Yes,4,penta,low,Single,1.0,17.0,56.07,Touch,b,593.79,205.26,2032.0,42.15,5,1,0,2,1,1
742,0.2,190,577,1359,3557,16,11,12,No,2,hepta,medium,Dual,4.0,14.0,56.36,Touch,b,662.44,193.14,313.81,61.83,7,2,1,2,0,1
1692,0.9,176,975,1996,1354,16,7,19,Yes,4,hexa,medium,Single,3.0,12.0,61.26,LCD,none,1148.49,323.08,724.26,89.05,6,2,0,1,1,0
1485,0.7,84,510,1013,2147,19,1,11,No,4,dual,medium,Single,2.0,9.0,32.5,Touch,none,1161.59,151.41,2573.02,135.0,2,2,0,1,0,1
1547,0.7,166,583,590,505,12,2,3,No,2,dual,high,Dual,6.0,8.0,45.41,Touch,a,442.37,173.18,749.3,515.67,2,3,1,3,0,1
1692,0.9,139,674,1925,1394,16,10,6,No,4,single,high,Dual,4.0,6.0,46.89,Touch,none,1186.81,274.57,488.95,282.0,1,3,1,1,0,1
637,0.8,97,1125,1989,374,18,4,8,No,4,quad,high,Single,3.0,4.0,60.2,LCD,g,721.1,314.78,1263.02,79.62,4,3,0,4,0,0
1224,0.4,109,747,826,506,10,0,11,No,4,hexa,low,Single,16.0,18.0,6.47,Touch,n,709.36,282.87,0.0,111.27,6,1,0,5,0,1
1356,0.5,198,1612,1983,3702,17,0,19,No,2,hexa,high,Single,,,29.64,LCD,none,1084.37,381.83,0.0,71.37,6,3,0,1,0,0
1840,0.7,142,311,1545,1078,8,0,10,No,2,single,low,Dual,12.0,16.0,34.54,LCD,none,846.37,500.38,0.0,184.0,1,1,1,1,0,0
1481,0.6,96,116,1533,2945,10,5,16,Yes,4,penta,low,Dual,4.0,13.0,37.42,Touch,b,948.21,349.27,778.76,92.56,5,1,1,2,1,1
961,0.3,152,554,621,2981,15,6,7,Yes,3,hexa,medium,Dual,10.0,16.0,51.49,Touch,b,639.09,130.84,262.89,137.29,6,2,1,2,1,1
1296,0.5,124,811,1272,490,7,1,4,No,4,penta,low,Dual,,3.0,14.44,Touch,g,782.39,541.88,3230.88,324.0,5,1,1,4,0,1
1193,0.5,166,730,1729,536,17,14,4,No,3,single,low,Single,11.0,20.0,26.55,LCD,b,613.58,216.46,313.69,298.25,1,1,0,2,0,0
1441,0.1,118,577,1071,2317,16,4,7,No,4,octa,medium,Dual,11.0,17.0,3.31,LCD,g,843.97,187.36,680.09,205.86,8,2,1,4,0,0
517,0.8,183,660,974,3704,17,16,11,No,4,quad,medium,Dual,3.0,8.0,33.33,LCD,n,870.93,128.01,154.62,47.0,4,2,1,5,0,0
748,0.9,150,450,1554,2126,18,9,7,Yes,4,octa,medium,Single,,4.0,27.4,LCD,none,888.93,204.19,438.57,106.86,8,2,0,1,1,0
